,GID,Team,Spread,Over/Under
5517,201812030MIN,MIN,1.5,221.5
5518,201812030NOP,LAC,3.0,238.5
5519,201812030NOP,NOP,-3.0,238.5
5520,201812030NYK,NYK,1.0,227.5
5521,201812030NYK,WAS,-1.0,227.5
5522,201812030TOR,DEN,6.5,218.0
5523,201812030TOR,TOR,-6.5,218.0
5524,201812040DAL,POR,1.5,220.0
5525,201812040DAL,DAL,-1.5,220.0
5526,201812040IND,CHI,9.0,208.5
5527,201812040IND,IND,-9.0,208.5
5528,201812040MIA,ORL,2.5,208.0
5529,201812040MIA,MIA,-2.5,208.0
5530,201812040PHO,PHO,6.5,226.0
5531,201812040PHO,SAC,-6.5,226.0
5532,201812040UTA,SAS,6.0,214.5
5533,201812040UTA,UTA,-6.0,214.5
5534,201812050ATL,WAS,-5.5,234.0
5535,201812050ATL,ATL,5.5,234.0
5536,201812050BRK,OKC,-7.5,217.5
5537,201812050BRK,BRK,7.5,217.5
5538,201812050CLE,GSW,-11.0,223.5
5539,201812050CLE,CLE,11.0,223.5
5540,201812050LAL,SAS,8.0,222.0
5541,201812050LAL,LAL,-8.0,222.0
5542,201812050MEM,LAC,-0.0,212.5
5543,201812050MEM,MEM,0.0,212.5
5544,201812050MIL,DET,7.5,227.5
5545,201812050MIL,MIL,-7.5,227.5
5546,201812050MIN,CHO,4.5,221.0
5547,201812050MIN,MIN,-4.5,221.0
5548,201812050NOP,DAL,6.0,227.0
5549,201812050NOP,NOP,-6.0,227.0
5550,201812050ORL,ORL,5.0,208.5
5551,201812050ORL,DEN,-5.0,208.5
5552,201812050TOR,PHI,6.0,229.0
5553,201812050TOR,TOR,-6.0,229.0
5554,201812060BOS,NYK,12.0,217.5
5555,201812060BOS,BOS,-12.0,217.5
5556,201812060POR,POR,-14.0,215.5
5557,201812060POR,PHO,14.0,215.5
5558,201812060UTA,HOU,2.0,217.0
5559,201812060UTA,UTA,-2.0,217.0
5560,201812070BRK,TOR,-9.0,222.5
5561,201812070BRK,BRK,9.0,222.5
5562,201812070CHI,CHI,8.5,216.5
5563,201812070CHI,OKC,-8.5,216.5
5564,201812070CHO,DEN,-1.0,218.0
5565,201812070CHO,CHO,1.0,218.0
5566,201812070CLE,SAC,-3.0,221.5
5567,201812070CLE,CLE,3.0,221.5
5568,201812070DET,PHI,-2.0,220.5
5569,201812070DET,DET,2.0,220.5
5570,201812070MIL,MIL,-1.5,239.5
5571,201812070MIL,GSW,1.5,239.5
5572,201812070NOP,NOP,-5.0,217.0
5573,201812070NOP,MEM,5.0,217.0
5574,201812070ORL,ORL,-1.0,206.5
5575,201812070ORL,IND,1.0,206.5
5576,201812070PHO,MIA,-7.5,210.0
5577,201812070PHO,PHO,7.5,210.0
5578,201812070SAS,LAL,1.0,226.0
5579,201812070SAS,SAS,-1.0,226.0
5580,201812080ATL,DEN,-7.5,222.5
5581,201812080ATL,ATL,7.5,222.5
5582,201812080CHI,BOS,-7.5,216.5
5583,201812080CHI,CHI,7.5,216.5
5584,201812080CLE,WAS,-5.5,223.0
5585,201812080CLE,CLE,5.5,223.0
5586,201812080DAL,HOU,-2.5,218.0
5587,201812080DAL,DAL,2.5,218.0
5588,201812080IND,SAC,3.5,222.0
5589,201812080IND,IND,-3.5,222.0
5590,201812080LAC,LAC,-6.5,221.5
5591,201812080LAC,MIA,6.5,221.5
5592,201812080MEM,LAL,2.5,207.5
5593,201812080MEM,MEM,-2.5,207.5
5594,201812080NYK,NYK,-3.0,219.0
5595,201812080NYK,BRK,3.0,219.0
